,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC343052,0,0,-1.071097061,0,0,0,0,-1.071097061,0,0,0,0,-1.071444543
LOC344887,-2.187627954,2.019874046,0,0,0,0,0,0,-1.234336303,1.33211597,0,0,1.826257235
LOC344967,0,3.626215545,1.899036822,0,0,0,3.626215545,1.899036822,0,0,0,0,3.450067032
LOC347411,0,0,0,0,0,0,0,0,-1.296802088,-1.22401561,0,0,1.150864602
LOC348120,0,-1.08336053,0,0,0,0,-1.08336053,0,0,0,0,0,-1.230336887
LOC348840,0,0,0,0,0,0,0,0,-1.319927256,-1.219265345,0,0,0
LOC349196,0,-1.284087462,0,0,0,0,0,0,0,0,0,0,0
LOC374443,1.512666802,-2.782575868,-2.042710479,0,0,0,0,-2.042710479,1.437831406,1.270447642,0,0,0
LOC374890,0,-1.843191832,0,0,0,0,0,-1.379886817,0,0,0,0,-1.24474689
LOC375190,2.23902098,-3.412123549,-1.478173412,0,0,0,0,-1.478173412,1.953738451,1.608949759,0,0,-3.365627515
LOC375196,1.231381055,1.178776642,0,0,0,0,0,0,0,0,0,0,0
LOC375295,0,0,-1.151279239,0,0,0,0,-1.151279239,0,0,0,0,-1.258507399
LOC386597,0,0,0,0,0,0,0,0,0,1.173207151,0,0,0
LOC386758,0,-2.372455224,-1.358313276,0,0,0,-2.372455224,-1.358313276,0,1.35824989,0,0,-1.989281571
LOC387646,0,-1.898841799,0,0,0,0,0,-1.849128896,0,0,0,0,-1.79804142
LOC387647,0,1.232737749,0,0,0,0,1.232737749,0,0,0,0,0,1.443976725
LOC387720,0,1.072041039,0,0,0,0,1.072041039,0,0,0,0,0,1.087939832
LOC387810,0,-1.360845016,0,0,0,0,-1.360845016,0,0,0,0,0,0
LOC387895,0,1.032390004,0,0,0,0,1.032390004,0,0,0,0,0,0
LOC388152,0,-1.265664323,-1.25055426,0,0,0,-1.265664323,-1.25055426,0,0,0,0,0
LOC388242,1.417952238,-1.409624439,-1.753879225,0,0,0,-1.409624439,-1.753879225,0,0,0,0,-1.388585368
LOC388276,0,0,0,0,0,0,0,0,0,0,0,0,-1.255173764
LOC388387,0,-1.960944178,0,0,0,0,-1.960944178,0,0,-1.320729827,0,0,-1.24580328
LOC388553,0,1.303841565,1.243421799,0,0,0,1.303841565,1.243421799,0,0,0,0,1.203023336
LOC388588,0,0,0,0,0,0,0,0,0,0,0,0,-1.451142793
LOC388630,0,1.055970939,0,0,0,0,1.055970939,0,0,0,0,0,-1.051527798
